new entry "Shout_Lord_Vaders_Presence"
type "SpellData"
data "SpellType" "Shout"
data "AreaRadius" "18"
data "SpellRoll" "not SavingThrow(Ability.Wisdom, PassiveIntimidationDC())"
data "SpellSuccess" "ApplyStatus(FRIGHTENED,100,2)"
data "SpellProperties" "RemoveStatus(SELF,TLN_Dark_Lords_Blessing_Boost)"
data "TargetConditions" "Character() and Enemy()"
data "Icon" "TLN_Icons_Aspect_of_Vader"
data "DisplayName" "h1901c749g7d66g4c57gadacg88c657399674;1"
data "Description" "h17a4d8abg3b3eg455bg82aegf2ac9000c66e;1"
data "DescriptionParams" "Distance(18)"
data "TooltipUseCosts" "BonusActionPoint:1"
data "TooltipAttackSave" "Wisdom"
data "TooltipStatusApply" "ApplyStatus(FRIGHTENED,100,2)"
data "CastSound" "Spell_Cast_Paladin_OathBreaker_DreadfulAspect_L1to3"
data "TargetSound" "Spell_Impact_Paladin_OathBreaker_DreadfulAspect_L1to3"
data "PreviewCursor" "Cast"
data "CastTextEvent" "Cast"
data "UseCosts" "BonusActionPoint:1"
data "SpellAnimation" "f94542d9-a79c-478a-92de-573cead9260e,,;,,;289b4f53-3ca5-4dff-a1d4-e84a84a283f0,,;772a34bf-06c1-43ee-ae7b-1a1ffd3fef9e,,;bd339475-d2b5-46e8-8d0c-9f2ad6a91328,,;,,;7a28f440-1b0b-4a18-96a8-3767959b601a,,;,,;,,"
data "SpellFlags" "IsSpell;DisplayInItemTooltip;IsHarmful"
data "PrepareEffect" "ba983b2b-5c00-4624-856b-44df1e8aabb6"
data "CastEffect" "85286b4e-52e6-426d-a48c-0c18ac7bb8d4"
data "TargetEffect" "59db2ac6-d621-4465-942f-5953c347cd1d"
